buy_month	sell_month	pints_purchased	expected_profit
2025-01-01	2025-02-01	178475	-340137.65499999974
2025-01-01	2025-03-01	175346	-409783.6019999999
2025-01-01	2025-04-01	172324	-520763.1279999998
2025-01-01	2025-05-01	169405	-587428.7779999998
2025-01-01	2025-06-01	166583	-639428.8454999999
2025-01-01	2025-07-01	163853	-589297.3144999999
2025-01-01	2025-08-01	161212	-564435.4543999999
2025-01-01	2025-09-01	158654	-461968.71719999984
2025-01-01	2025-10-01	156176	-475149.86239999987
2025-01-01	2025-11-01	153775	-351606.5374999999
2025-01-01	2025-12-01	151446	-350112.8627999998
2025-02-01	2025-03-01	226860	-236388.12000000005
2025-02-01	2025-04-01	221827	-383095.22900000017
2025-02-01	2025-05-01	217013	-471482.4438
2025-02-01	2025-06-01	212404	-540249.5740000003
2025-02-01	2025-07-01	207986	-478679.77900000004
2025-02-01	2025-08-01	203748	-449508.83760000026
2025-02-01	2025-09-01	199680	-322842.6240000002
2025-02-01	2025-10-01	195771	-342090.2454000001
2025-02-01	2025-11-01	192012	-190379.89800000022
2025-02-01	2025-12-01	188394	-191559.01919999998
2025-03-01	2025-04-01	247524	-311632.71599999996
2025-03-01	2025-05-01	241545	-411737.607
2025-03-01	2025-06-01	235849	-489504.59950000007
2025-03-01	2025-07-01	230414	-422464.0690000001
2025-03-01	2025-08-01	225225	-391486.0950000001
2025-03-01	2025-09-01	220264	-253039.2832000002
2025-03-01	2025-10-01	215517	-275732.44980000006
2025-03-01	2025-11-01	210970	-110442.79500000006
2025-03-01	2025-12-01	206611	-113388.11679999999
2025-04-01	2025-05-01	294985	-281592.6809999999
2025-04-01	2025-06-01	286532	-379798.1660000001
2025-04-01	2025-07-01	278551	-301810.0084999998
2025-04-01	2025-08-01	271002	-267804.1764
2025-04-01	2025-09-01	263852	-105224.17760000001
2025-04-01	2025-10-01	257069	-136092.32859999998
2025-04-01	2025-11-01	250626	56766.788999999924
2025-04-01	2025-12-01	244498	49192.99760000023
2025-05-01	2025-06-01	332667	-279939.2805000003
2025-05-01	2025-07-01	321957	-193013.22150000013
2025-05-01	2025-08-01	311915	-157267.54300000012
2025-05-01	2025-09-01	302480	25771.29599999985
2025-05-01	2025-10-01	293599	-13329.394600000096
2025-05-01	2025-11-01	285225	202652.36249999978
2025-05-01	2025-12-01	277315	190016.238
2025-06-01	2025-07-01	369685	-73382.47249999989
2025-06-01	2025-08-01	356506	-36791.41920000006
2025-06-01	2025-09-01	344234	167366.5707999999
2025-06-01	2025-10-01	332778	118335.85680000013
2025-06-01	2025-11-01	322061	357970.8015
2025-06-01	2025-12-01	312012	338907.4344000002
2025-07-01	2025-08-01	324149	-124213.89680000013
2025-07-01	2025-09-01	313971	64740.82019999984
2025-07-01	2025-10-01	304414	23013.698400000034
2025-07-01	2025-11-01	295420	245641.7299999999
2025-07-01	2025-12-01	286944	231334.25280000013
2025-08-01	2025-09-01	302846	27013.863199999985
2025-08-01	2025-10-01	293944	-12169.281599999966
2025-08-01	2025-11-01	285551	204026.18950000004
2025-08-01	2025-12-01	277623	191337.77160000027
2025-09-01	2025-10-01	245821	-173893.77539999984
2025-09-01	2025-11-01	239923	11636.265499999943
2025-09-01	2025-12-01	234301	5435.783200000234
2025-10-01	2025-11-01	247892	45240.29000000003
2025-10-01	2025-12-01	241896	38026.05120000011
2025-11-01	2025-12-01	200601	-139176.97379999972
